,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,encode_type,weekdays,hours,popularity,positive,negtive,cluster
1538,video,358,19,1,358,0,0,0,0,0,3,2,7,378,358,0,2
1539,photo,45,1,0,45,0,0,0,0,0,1,2,3,46,45,0,2
1540,video,155,2,0,155,0,0,0,0,0,3,2,2,157,155,0,2
1541,video,328,21,5,328,0,0,0,0,0,3,1,23,354,328,0,3
1542,video,271,6,0,271,0,0,0,0,0,3,0,13,277,271,0,2
1543,video,202,10,1,202,0,0,0,0,0,3,6,14,213,202,0,0
1544,video,249,7,1,249,0,0,0,0,0,3,6,13,257,249,0,0
1545,video,460,31,1,460,0,0,0,0,0,3,6,9,492,460,0,0
1546,video,100,0,0,100,0,0,0,0,0,3,1,23,100,100,0,3
1547,video,101,2,1,101,0,0,0,0,0,3,1,23,104,101,0,3
1548,video,258,7,0,258,0,0,0,0,0,3,1,11,265,258,0,2
1549,video,152,5,0,152,0,0,0,0,0,3,1,10,157,152,0,2
1550,photo,87,3,0,87,0,0,0,0,0,1,1,4,90,87,0,2
1551,photo,46,4,0,46,0,0,0,0,0,1,5,6,50,46,0,0
1552,photo,63,0,0,63,0,0,0,0,0,1,4,7,63,63,0,0
1553,video,271,3,1,271,0,0,0,0,0,3,3,23,275,271,0,3
1554,video,126,5,2,126,0,0,0,0,0,3,3,10,133,126,0,2
1555,video,175,6,0,175,0,0,0,0,0,3,2,23,181,175,0,3
1556,video,47,0,1,47,0,0,0,0,0,3,2,23,48,47,0,3
1557,photo,42,0,0,42,0,0,0,0,0,1,2,7,42,42,0,2
1558,photo,53,1,0,53,0,0,0,0,0,1,2,7,54,53,0,2
1559,photo,100,1,1,100,0,0,0,0,0,1,1,9,102,100,0,2
1560,photo,41,1,0,41,0,0,0,0,0,1,1,6,42,41,0,2
1561,photo,34,0,0,34,0,0,0,0,0,1,1,6,34,34,0,2
1562,video,238,4,0,238,0,0,0,0,0,3,6,2,242,238,0,0
1563,video,223,3,1,223,0,0,0,0,0,3,6,0,227,223,0,0
1564,photo,75,0,0,75,0,0,0,0,0,1,5,22,75,75,0,3
1565,photo,101,1,0,101,0,0,0,0,0,1,4,23,102,101,0,3
1566,photo,51,0,0,51,0,0,0,0,0,1,4,6,51,51,0,0
1567,photo,77,3,0,77,0,0,0,0,0,1,3,9,80,77,0,2
1568,video,1190,12,1,1190,0,0,0,0,0,3,3,1,1203,1190,0,2
1569,photo,9,0,0,9,0,0,0,0,0,1,3,0,9,9,0,2
1570,photo,134,3,0,134,0,0,0,0,0,1,2,9,137,134,0,2
1571,photo,72,0,0,72,0,0,0,0,0,1,2,6,72,72,0,2
1572,video,188,6,0,188,0,0,0,0,0,3,2,0,194,188,0,2
1573,video,221,2,0,221,0,0,0,0,0,3,1,3,223,221,0,2
1574,video,221,3,0,221,0,0,0,0,0,3,0,10,224,221,0,2
1575,photo,94,3,0,94,0,0,0,0,0,1,0,3,97,94,0,2
1576,video,82,3,0,82,0,0,0,0,0,3,6,23,85,82,0,3
1577,photo,216,8,0,216,0,0,0,0,0,1,6,9,224,216,0,0
1578,video,110,0,0,110,0,0,0,0,0,3,6,5,110,110,0,0
1579,video,348,0,0,348,0,0,0,0,0,3,5,10,348,348,0,0
1580,video,225,13,0,225,0,0,0,0,0,3,5,9,238,225,0,0
1581,photo,80,1,0,80,0,0,0,0,0,1,5,7,81,80,0,0
1582,photo,91,6,0,91,0,0,0,0,0,1,4,8,97,91,0,0
1583,photo,184,11,0,184,0,0,0,0,0,1,4,8,195,184,0,0
1584,video,562,0,0,562,0,0,0,0,0,3,4,6,562,562,0,0
1585,photo,184,0,0,184,0,0,0,0,0,1,4,3,184,184,0,0
1586,photo,190,2,0,190,0,0,0,0,0,1,3,4,192,190,0,2
1587,video,360,23,2,360,0,0,0,0,0,3,1,8,385,360,0,2
1588,video,57,0,0,57,0,0,0,0,0,3,0,8,57,57,0,2
1589,photo,102,4,0,102,0,0,0,0,0,1,5,7,106,102,0,0
1590,photo,152,2,0,152,0,0,0,0,0,1,5,0,154,152,0,0
1591,photo,263,14,0,263,0,0,0,0,0,1,3,22,277,263,0,3
1592,video,62,1,0,62,0,0,0,0,0,3,3,13,63,62,0,3
1593,video,126,18,0,126,0,0,0,0,0,3,3,8,144,126,0,2
1594,photo,114,3,0,114,0,0,0,0,0,1,2,1,117,114,0,2
1595,photo,187,9,0,187,0,0,0,0,0,1,1,7,196,187,0,2
1596,photo,58,7,0,58,0,0,0,0,0,1,1,5,65,58,0,2
1597,photo,46,3,0,46,0,0,0,0,0,1,1,5,49,46,0,2
1598,photo,183,4,0,183,0,0,0,0,0,1,5,3,187,183,0,0
1599,photo,99,11,0,99,0,0,0,0,0,1,2,20,110,99,0,3
1600,photo,51,0,0,51,0,0,0,0,0,1,2,20,51,51,0,3
1601,photo,92,6,0,92,0,0,0,0,0,1,0,6,98,92,0,2
1602,photo,103,6,0,103,0,0,0,0,0,1,0,6,109,103,0,2
1603,photo,326,9,0,326,0,0,0,0,0,1,0,1,335,326,0,2
1604,photo,113,2,0,113,0,0,0,0,0,1,2,9,115,113,0,2
1605,photo,61,0,0,61,0,0,0,0,0,1,2,0,61,61,0,2
1606,photo,76,3,0,76,0,0,0,0,0,1,2,0,79,76,0,2
1607,photo,66,1,0,66,0,0,0,0,0,1,2,0,67,66,0,2
1608,video,638,34,9,638,0,0,0,0,0,3,1,10,681,638,0,2
1609,video,154,0,0,154,0,0,0,0,0,3,1,0,154,154,0,2
1610,video,95,9,3,95,0,0,0,0,0,3,0,23,107,95,0,3
1611,photo,29,0,0,29,0,0,0,0,0,1,0,23,29,29,0,3
1612,photo,71,2,1,71,0,0,0,0,0,1,0,23,74,71,0,3
1613,video,813,6,0,813,0,0,0,0,0,3,0,2,819,813,0,2
1614,video,506,44,7,506,0,0,0,0,0,3,0,1,557,506,0,2
1615,photo,68,7,0,68,0,0,0,0,0,1,6,22,75,68,0,3
1616,video,174,11,0,174,0,0,0,0,0,3,6,8,185,174,0,0
1617,photo,105,4,0,105,0,0,0,0,0,1,6,4,109,105,0,0
1618,photo,179,11,0,179,0,0,0,0,0,1,6,4,190,179,0,0
1619,video,191,6,0,191,0,0,0,0,0,3,5,0,197,191,0,0
1620,video,203,3,1,203,0,0,0,0,0,3,4,22,207,203,0,3
1621,photo,277,52,2,277,0,0,0,0,0,1,4,21,331,277,0,3
1622,video,62,2,0,62,0,0,0,0,0,3,4,20,64,62,0,3
1623,video,200,6,0,200,0,0,0,0,0,3,4,5,206,200,0,0
1624,photo,339,30,0,339,0,0,0,0,0,1,3,10,369,339,0,2
1625,video,178,10,1,178,0,0,0,0,0,3,1,10,189,178,0,2
1626,photo,23,0,0,23,0,0,0,0,0,1,1,8,23,23,0,2
1627,video,65,11,0,65,0,0,0,0,0,3,0,19,76,65,0,3
1628,video,250,7,6,250,0,0,0,0,0,3,0,9,263,250,0,2
1629,photo,59,0,0,59,0,0,0,0,0,1,4,21,59,59,0,3
1630,video,110,12,3,110,0,0,0,0,0,3,2,11,125,110,0,2
1631,video,147,13,2,147,0,0,0,0,0,3,2,10,162,147,0,2
1632,photo,62,6,0,62,0,0,0,0,0,1,2,6,68,62,0,2
1633,video,686,53,3,686,0,0,0,0,0,3,1,9,742,686,0,2
1634,video,351,5,2,351,0,0,0,0,0,3,1,5,358,351,0,2
1635,video,215,12,1,215,0,0,0,0,0,3,1,1,228,215,0,2
1636,video,100,6,6,100,0,0,0,0,0,3,0,10,112,100,0,2
1637,video,131,1,1,131,0,0,0,0,0,3,0,10,133,131,0,2
1638,video,560,22,12,560,0,0,0,0,0,3,0,6,594,560,0,2
1639,video,374,9,16,374,0,0,0,0,0,3,6,2,399,374,0,0
1640,video,559,22,7,559,0,0,0,0,0,3,5,23,588,559,0,3
1641,video,169,6,5,169,0,0,0,0,0,3,5,10,180,169,0,0
1642,video,473,9,9,473,0,0,0,0,0,3,5,7,491,473,0,0
1643,video,58,2,4,58,0,0,0,0,0,3,5,7,64,58,0,0
1644,video,164,4,9,164,0,0,0,0,0,3,5,7,177,164,0,0
1645,video,614,24,21,614,0,0,0,0,0,3,5,5,659,614,0,0
1646,video,211,2,4,211,0,0,0,0,0,3,5,3,217,211,0,0
1647,video,129,9,3,129,0,0,0,0,0,3,5,3,141,129,0,0
1648,video,155,5,9,155,0,0,0,0,0,3,5,3,169,155,0,0
1649,video,438,14,19,438,0,0,0,0,0,3,5,3,471,438,0,0
1650,video,304,20,24,304,0,0,0,0,0,3,4,23,348,304,0,3
1651,video,116,2,10,116,0,0,0,0,0,3,4,23,128,116,0,3
1652,video,135,1,2,135,0,0,0,0,0,3,4,8,138,135,0,0
1653,photo,115,9,0,115,0,0,0,0,0,1,4,1,124,115,0,0
1654,photo,128,3,0,128,0,0,0,0,0,1,3,6,131,128,0,2
1655,photo,128,3,0,128,0,0,0,0,0,1,2,11,131,128,0,2
1656,photo,55,4,4,55,0,0,0,0,0,1,1,8,63,55,0,2
1657,photo,109,1,0,109,0,0,0,0,0,1,5,21,110,109,0,3
1658,photo,58,0,0,58,0,0,0,0,0,1,5,7,58,58,0,0
1659,photo,83,0,0,83,0,0,0,0,0,1,5,5,83,83,0,0
1660,photo,164,6,0,164,0,0,0,0,0,1,5,5,170,164,0,0
1661,video,210,9,0,210,0,0,0,0,0,3,5,0,219,210,0,0
1662,video,133,17,5,133,0,0,0,0,0,3,4,3,155,133,0,0
1663,video,91,6,6,91,0,0,0,0,0,3,3,12,103,91,0,2
1664,video,226,13,0,226,0,0,0,0,0,3,3,10,239,226,0,2
1665,video,50,3,0,50,0,0,0,0,0,3,3,9,53,50,0,2
1666,video,243,0,0,243,0,0,0,0,0,3,3,7,243,243,0,2
1667,video,113,15,0,113,0,0,0,0,0,3,2,14,128,113,0,3
1668,video,243,5,5,243,0,0,0,0,0,3,2,11,253,243,0,2
1669,video,141,1,1,141,0,0,0,0,0,3,2,11,143,141,0,2
1670,video,130,0,5,130,0,0,0,0,0,3,2,10,135,130,0,2
1671,video,65,2,4,65,0,0,0,0,0,3,1,10,71,65,0,2
1672,photo,3,3,0,3,0,0,0,0,0,1,0,2,6,3,0,2
1673,photo,75,3,0,75,0,0,0,0,0,1,6,2,78,75,0,0
1674,video,45,0,1,45,0,0,0,0,0,3,5,3,46,45,0,0
1675,video,177,14,4,177,0,0,0,0,0,3,4,11,195,177,0,0
1676,photo,45,1,0,45,0,0,0,0,0,1,4,7,46,45,0,0
1677,photo,93,8,0,93,0,0,0,0,0,1,4,3,101,93,0,0
1678,video,73,0,2,73,0,0,0,0,0,3,4,2,75,73,0,0
1679,photo,82,5,0,82,0,0,0,0,0,1,4,0,87,82,0,0
1680,video,89,17,1,89,0,0,0,0,0,3,3,21,107,89,0,3
1681,video,52,5,3,52,0,0,0,0,0,3,3,9,60,52,0,2
1682,video,52,5,3,52,0,0,0,0,0,3,3,9,60,52,0,2
1683,photo,32,1,0,32,0,0,0,0,0,1,3,1,33,32,0,2
1684,photo,140,18,0,140,0,0,0,0,0,1,3,1,158,140,0,2
1685,photo,113,5,0,113,0,0,0,0,0,1,2,23,118,113,0,3
1686,video,1201,86,3,1201,0,0,0,0,0,3,2,12,1290,1201,0,2
1687,video,1145,22,4,1145,0,0,0,0,0,3,2,11,1171,1145,0,2
1688,video,107,5,5,107,0,0,0,0,0,3,2,11,117,107,0,2
1689,photo,27,5,0,27,0,0,0,0,0,1,2,11,32,27,0,2
1690,photo,101,9,0,101,0,0,0,0,0,1,2,10,110,101,0,2
1691,video,160,8,3,160,0,0,0,0,0,3,1,21,171,160,0,3
1692,video,197,20,2,197,0,0,0,0,0,3,6,7,219,197,0,0
1693,photo,70,3,0,70,0,0,0,0,0,1,6,6,73,70,0,0
1694,video,88,11,1,88,0,0,0,0,0,3,6,2,100,88,0,0
1695,photo,22,1,0,22,0,0,0,0,0,1,6,1,23,22,0,0
1696,video,265,5,0,265,0,0,0,0,0,3,5,10,270,265,0,0
1697,photo,73,4,7,73,0,0,0,0,0,1,4,20,84,73,0,3
1698,photo,211,2,0,211,0,0,0,0,0,1,4,8,213,211,0,0
1699,video,165,9,0,165,0,0,0,0,0,3,4,6,174,165,0,0
1700,video,190,6,1,190,0,0,0,0,0,3,4,1,197,190,0,0
1701,video,83,1,0,83,0,0,0,0,0,3,4,0,84,83,0,0
1702,photo,51,1,0,51,0,0,0,0,0,1,3,10,52,51,0,2
1703,video,386,15,14,386,0,0,0,0,0,3,3,8,415,386,0,2
1704,video,135,14,0,135,0,0,0,0,0,3,3,0,149,135,0,2
1705,video,273,35,2,273,0,0,0,0,0,3,2,22,310,273,0,3
1706,video,87,25,4,87,0,0,0,0,0,3,2,12,116,87,0,2
1707,video,240,30,2,240,0,0,0,0,0,3,2,0,272,240,0,2
1708,photo,47,1,0,47,0,0,0,0,0,1,1,7,48,47,0,2
1709,video,23,7,16,23,0,0,0,0,0,3,0,10,46,23,0,2
1710,photo,84,4,0,84,0,0,0,0,0,1,5,0,88,84,0,0
1711,photo,18,0,0,18,0,0,0,0,0,1,3,12,18,18,0,2
1712,photo,59,5,0,59,0,0,0,0,0,1,2,1,64,59,0,2
1713,photo,44,0,0,44,0,0,0,0,0,1,6,1,44,44,0,0
1714,photo,28,0,0,28,0,0,0,0,0,1,5,21,28,28,0,3
1715,photo,30,1,0,30,0,0,0,0,0,1,5,21,31,30,0,3
1716,photo,39,2,0,39,0,0,0,0,0,1,2,9,41,39,0,2
1717,photo,17,0,1,17,0,0,0,0,0,1,2,3,18,17,0,2
1718,photo,74,15,1,74,0,0,0,0,0,1,1,7,90,74,0,2
1719,photo,68,6,0,68,0,0,0,0,0,1,6,9,74,68,0,0
1720,photo,65,2,10,65,0,0,0,0,0,1,1,0,77,65,0,2
1721,photo,52,2,0,52,0,0,0,0,0,1,3,4,54,52,0,2
1722,photo,78,8,0,78,0,0,0,0,0,1,3,2,86,78,0,2
1723,photo,28,3,0,28,0,0,0,0,0,1,3,1,31,28,0,2
1724,photo,63,5,0,63,0,0,0,0,0,1,2,21,68,63,0,3
1725,photo,19,24,0,19,0,0,0,0,0,1,2,3,43,19,0,2
1726,photo,21,22,0,21,0,0,0,0,0,1,2,3,43,21,0,2
1727,photo,77,12,0,77,0,0,0,0,0,1,2,2,89,77,0,2
1728,video,137,3,1,137,0,0,0,0,0,3,2,2,141,137,0,2
1729,photo,537,16,1,537,0,0,0,0,0,1,2,0,554,537,0,2
1730,photo,57,5,1,57,0,0,0,0,0,1,1,23,63,57,0,3
1731,video,144,11,0,144,0,0,0,0,0,3,1,4,155,144,0,2
1732,photo,13,1,0,13,0,0,0,0,0,1,0,10,14,13,0,2
1733,photo,10,0,0,10,0,0,0,0,0,1,0,10,10,10,0,2
1734,video,108,5,0,108,0,0,0,0,0,3,2,22,113,108,0,3
1735,photo,49,0,0,49,0,0,0,0,0,1,1,2,49,49,0,2
1736,photo,1,0,0,1,0,0,0,0,0,1,6,5,1,1,0,0
1737,photo,29,1,0,29,0,0,0,0,0,1,2,2,30,29,0,2
1738,photo,24,2,2,24,0,0,0,0,0,1,6,22,28,24,0,3
1739,photo,156,17,0,156,0,0,0,0,0,1,5,23,173,156,0,3
1740,photo,56,1,0,56,0,0,0,0,0,1,1,12,57,56,0,2
1741,photo,34,1,0,34,0,0,0,0,0,1,6,13,35,34,0,0
1742,photo,16,1,0,16,0,0,0,0,0,1,3,0,17,16,0,2
1743,photo,25,1,0,25,0,0,0,0,0,1,3,0,26,25,0,2
1744,photo,38,4,1,38,0,0,0,0,0,1,2,11,43,38,0,2
1745,photo,45,5,0,45,0,0,0,0,0,1,2,10,50,45,0,2
1746,photo,74,2,0,74,0,0,0,0,0,1,2,4,76,74,0,2
1747,photo,8,0,0,8,0,0,0,0,0,1,2,4,8,8,0,2
1748,photo,2,0,0,2,0,0,0,0,0,1,1,21,2,2,0,3
1749,photo,131,8,0,131,0,0,0,0,0,1,0,7,139,131,0,2
1750,photo,32,3,0,32,0,0,0,0,0,1,0,6,35,32,0,2
1751,photo,14,1,1,14,0,0,0,0,0,1,0,6,16,14,0,2
1752,photo,90,10,4,90,0,0,0,0,0,1,0,6,104,90,0,2
1753,photo,122,2,0,122,0,0,0,0,0,1,2,21,124,122,0,3
1754,photo,5,0,0,5,0,0,0,0,0,1,2,12,5,5,0,2
1755,photo,97,5,1,97,0,0,0,0,0,1,2,7,103,97,0,2
1756,photo,31,1,0,31,0,0,0,0,0,1,2,1,32,31,0,2
1757,photo,80,4,0,80,0,0,0,0,0,1,2,0,84,80,0,2
1758,photo,51,1,1,51,0,0,0,0,0,1,2,0,53,51,0,2
1759,photo,38,0,0,38,0,0,0,0,0,1,2,0,38,38,0,2
1760,photo,102,5,0,102,0,0,0,0,0,1,2,0,107,102,0,2
1761,photo,92,10,1,92,0,0,0,0,0,1,5,9,103,92,0,0
1762,photo,54,4,0,54,0,0,0,0,0,1,5,9,58,54,0,0
1763,photo,44,4,0,44,0,0,0,0,0,1,5,9,48,44,0,0
1764,photo,78,5,1,78,0,0,0,0,0,1,4,1,84,78,0,0
1765,photo,66,10,1,66,0,0,0,0,0,1,3,23,77,66,0,3
1766,photo,54,6,2,54,0,0,0,0,0,1,3,22,62,54,0,3
1767,photo,25,0,0,25,0,0,0,0,0,1,3,11,25,25,0,2
1768,photo,74,5,1,74,0,0,0,0,0,1,3,7,80,74,0,2
1769,photo,79,7,1,79,0,0,0,0,0,1,3,7,87,79,0,2
1770,photo,104,3,1,104,0,0,0,0,0,1,0,2,108,104,0,2
1771,photo,38,7,0,38,0,0,0,0,0,1,0,0,45,38,0,2
1772,photo,17,6,0,17,0,0,0,0,0,1,5,2,23,17,0,0
1773,photo,75,8,0,75,0,0,0,0,0,1,4,9,83,75,0,0
1774,photo,52,3,0,52,0,0,0,0,0,1,1,13,55,52,0,2
1775,photo,38,0,5,38,0,0,0,0,0,1,1,2,43,38,0,2
1776,photo,58,5,0,58,0,0,0,0,0,1,5,22,63,58,0,3
1777,photo,12,1,2,12,0,0,0,0,0,1,5,10,15,12,0,0
1778,photo,4,0,2,4,0,0,0,0,0,1,5,0,6,4,0,0
1779,photo,28,4,0,28,0,0,0,0,0,1,4,4,32,28,0,0
1780,photo,4,0,1,4,0,0,0,0,0,1,1,22,5,4,0,3
1781,photo,51,0,0,51,0,0,0,0,0,1,1,3,51,51,0,2
1782,photo,18,1,0,18,0,0,0,0,0,1,1,0,19,18,0,2
1783,photo,45,0,0,45,0,0,0,0,0,1,6,3,45,45,0,0
1784,photo,14,0,0,14,0,0,0,0,0,1,6,2,14,14,0,0
1785,photo,54,1,0,54,0,0,0,0,0,1,4,22,55,54,0,3
1786,photo,65,4,0,65,0,0,0,0,0,1,3,23,69,65,0,3
1787,photo,73,0,0,73,0,0,0,0,0,1,3,3,73,73,0,2
1788,photo,43,3,0,43,0,0,0,0,0,1,2,22,46,43,0,3
1789,photo,28,4,1,28,0,0,0,0,0,1,0,0,33,28,0,2
1790,photo,22,1,0,22,0,0,0,0,0,1,6,23,23,22,0,3
1791,photo,39,3,0,39,0,0,0,0,0,1,6,7,42,39,0,0
1792,photo,62,8,0,62,0,0,0,0,0,1,5,6,70,62,0,0
1793,photo,20,2,0,20,0,0,0,0,0,1,5,3,22,20,0,0
1794,photo,17,0,0,17,0,0,0,0,0,1,5,3,17,17,0,0
1795,photo,49,7,0,49,0,0,0,0,0,1,5,2,56,49,0,0
1796,photo,62,7,0,62,0,0,0,0,0,1,5,1,69,62,0,0
1797,photo,43,2,0,43,0,0,0,0,0,1,5,1,45,43,0,0
1798,photo,30,1,0,30,0,0,0,0,0,1,4,13,31,30,0,0
1799,photo,28,0,0,28,0,0,0,0,0,1,4,9,28,28,0,0
1800,photo,49,2,2,49,0,0,0,0,0,1,4,8,53,49,0,0
1801,photo,67,6,0,67,0,0,0,0,0,1,3,8,73,67,0,2
1802,photo,20,1,0,20,0,0,0,0,0,1,3,3,21,20,0,2
1803,photo,81,5,0,81,0,0,0,0,0,1,3,1,86,81,0,2
1804,photo,58,6,1,58,0,0,0,0,0,1,1,23,65,58,0,3
1805,photo,13,5,0,13,0,0,0,0,0,1,1,9,18,13,0,2
1806,photo,47,0,0,47,0,0,0,0,0,1,6,8,47,47,0,0
1807,photo,7,0,2,7,0,0,0,0,0,1,6,0,9,7,0,0
1808,photo,62,2,1,62,0,0,0,0,0,1,5,6,65,62,0,0
1809,photo,84,6,0,84,0,0,0,0,0,1,5,6,90,84,0,0
1810,photo,23,2,0,23,0,0,0,0,0,1,4,2,25,23,0,0
1811,photo,19,4,0,19,0,0,0,0,0,1,4,1,23,19,0,0
1812,photo,13,0,1,13,0,0,0,0,0,1,0,7,14,13,0,2
1813,photo,8,1,1,8,0,0,0,0,0,1,6,17,10,8,0,3
1814,photo,35,1,0,35,0,0,0,0,0,1,6,11,36,35,0,0
1815,photo,37,0,0,37,0,0,0,0,0,1,6,3,37,37,0,0
1816,photo,73,10,0,73,0,0,0,0,0,1,5,0,83,73,0,0
1817,photo,114,9,0,114,0,0,0,0,0,1,4,20,123,114,0,3
1818,photo,69,6,0,69,0,0,0,0,0,1,3,23,75,69,0,3
1819,photo,43,0,0,43,0,0,0,0,0,1,3,18,43,43,0,3
1820,photo,106,3,0,106,0,0,0,0,0,1,3,18,109,106,0,3
1821,photo,69,2,0,69,0,0,0,0,0,1,2,8,71,69,0,2
1822,photo,65,2,0,65,0,0,0,0,0,1,2,8,67,65,0,2
1823,photo,52,0,0,52,0,0,0,0,0,1,1,3,52,52,0,2
1824,photo,79,1,0,79,0,0,0,0,0,1,1,3,80,79,0,2
1825,photo,49,1,0,49,0,0,0,0,0,1,1,3,50,49,0,2
1826,photo,31,0,0,31,0,0,0,0,0,1,5,23,31,31,0,3
1827,photo,7,0,2,7,0,0,0,0,0,1,0,11,9,7,0,2
1828,photo,6,0,2,6,0,0,0,0,0,1,6,21,8,6,0,3
1829,photo,7,0,0,7,0,0,0,0,0,1,6,15,7,7,0,0
1830,photo,5,1,1,5,0,0,0,0,0,1,6,15,7,5,0,0
1831,photo,18,1,0,18,0,0,0,0,0,1,6,5,19,18,0,0
1832,photo,32,0,7,32,0,0,0,0,0,1,6,4,39,32,0,0
1833,photo,33,1,0,33,0,0,0,0,0,1,5,11,34,33,0,0
1834,photo,97,0,0,97,0,0,0,0,0,1,3,11,97,97,0,2
1835,photo,102,16,0,102,0,0,0,0,0,1,2,7,118,102,0,2
1836,photo,38,10,0,38,0,0,0,0,0,1,1,1,48,38,0,2
1837,photo,16,2,0,16,0,0,0,0,0,1,6,5,18,16,0,0
1838,photo,3,1,2,3,0,0,0,0,0,1,3,0,6,3,0,2
1839,photo,27,0,5,27,0,0,0,0,0,1,1,22,32,27,0,3
1840,photo,78,4,35,78,0,0,0,0,0,1,1,22,117,78,0,3
1841,photo,29,0,0,29,0,0,0,0,0,1,6,5,29,29,0,0
1842,photo,66,9,0,66,0,0,0,0,0,1,3,2,75,66,0,2
1843,photo,78,16,0,78,0,0,0,0,0,1,3,0,94,78,0,2
1844,photo,57,9,1,57,0,0,0,0,0,1,5,13,67,57,0,0
1845,photo,19,4,0,19,0,0,0,0,0,1,5,8,23,19,0,0
1846,photo,82,14,0,82,0,0,0,0,0,1,5,8,96,82,0,0
1847,photo,5,4,1,5,0,0,0,0,0,1,5,6,10,5,0,0
1848,photo,52,5,0,52,0,0,0,0,0,1,3,5,57,52,0,2
1849,photo,45,14,0,45,0,0,0,0,0,1,2,23,59,45,0,3
1850,status,41,19,11,41,0,0,0,0,0,2,2,1,71,41,0,2
1851,photo,55,10,0,55,0,0,0,0,0,1,1,8,65,55,0,2
1852,photo,40,1,0,40,0,0,0,0,0,1,1,4,41,40,0,2
1853,photo,48,4,0,48,0,0,0,0,0,1,1,0,52,48,0,2
1854,photo,53,7,0,53,0,0,0,0,0,1,0,23,60,53,0,3
1855,photo,5,0,0,5,0,0,0,0,0,1,0,11,5,5,0,2
1856,photo,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,2
1857,photo,74,6,0,74,0,0,0,0,0,1,0,10,80,74,0,2
1858,photo,7,1,2,7,0,0,0,0,0,1,0,0,10,7,0,2
1859,photo,96,214,0,96,0,0,0,0,0,1,4,3,310,96,0,0
1860,photo,43,2,0,43,0,0,0,0,0,1,1,1,45,43,0,2
1861,photo,13,3,0,13,0,0,0,0,0,1,1,7,16,13,0,2
1862,photo,28,3,0,28,0,0,0,0,0,1,1,7,31,28,0,2
1863,photo,34,0,1,34,0,0,0,0,0,1,1,2,35,34,0,2
1864,photo,83,1,0,83,0,0,0,0,0,1,0,23,84,83,0,3
1865,photo,7,0,0,7,0,0,0,0,0,1,0,9,7,7,0,2
1866,photo,34,0,0,34,0,0,0,0,0,1,0,3,34,34,0,2
1867,photo,97,3,0,97,0,0,0,0,0,1,0,1,100,97,0,2
1868,photo,24,4,0,24,0,0,0,0,0,1,6,9,28,24,0,0
1869,photo,106,18,0,106,0,0,0,0,0,1,6,8,124,106,0,0
1870,photo,131,4,0,131,0,0,0,0,0,1,6,5,135,131,0,0
1871,photo,132,7,0,132,0,0,0,0,0,1,5,11,139,132,0,0
1872,photo,79,5,0,79,0,0,0,0,0,1,5,9,84,79,0,0
1873,photo,71,2,7,71,0,0,0,0,0,1,4,10,80,71,0,0
1874,photo,55,8,5,55,0,0,0,0,0,1,4,0,68,55,0,0
1875,photo,51,9,0,51,0,0,0,0,0,1,3,21,60,51,0,3
1876,photo,46,3,1,46,0,0,0,0,0,1,3,12,50,46,0,2
1877,photo,5,2,2,5,0,0,0,0,0,1,3,10,9,5,0,2
1878,photo,52,5,0,52,0,0,0,0,0,1,2,5,57,52,0,2
1879,photo,18,0,0,18,0,0,0,0,0,1,2,3,18,18,0,2
1880,photo,207,13,0,207,0,0,0,0,0,1,1,11,220,207,0,2
1881,photo,105,5,0,105,0,0,0,0,0,1,1,9,110,105,0,2
1882,photo,30,0,0,30,0,0,0,0,0,1,1,8,30,30,0,2
1883,photo,32,0,0,32,0,0,0,0,0,1,6,23,32,32,0,3
1884,photo,44,10,0,44,0,0,0,0,0,1,6,9,54,44,0,0
1885,photo,100,28,1,100,0,0,0,0,0,1,6,9,129,100,0,0
1886,photo,58,4,0,58,0,0,0,0,0,1,5,3,62,58,0,0
1887,photo,22,1,0,22,0,0,0,0,0,1,4,3,23,22,0,0
1888,photo,26,0,0,26,0,0,0,0,0,1,4,1,26,26,0,0
1889,photo,45,4,0,45,0,0,0,0,0,1,3,1,49,45,0,2
1890,photo,21,0,0,21,0,0,0,0,0,1,3,0,21,21,0,2
1891,photo,75,15,0,75,0,0,0,0,0,1,1,3,90,75,0,2
1892,photo,21,0,1,21,0,0,0,0,0,1,1,3,22,21,0,2
1893,photo,72,23,0,72,0,0,0,0,0,1,0,10,95,72,0,2
1894,photo,50,1,0,50,0,0,0,0,0,1,0,5,51,50,0,2
1895,photo,26,6,0,26,0,0,0,0,0,1,0,2,32,26,0,2
1896,photo,46,9,0,46,0,0,0,0,0,1,6,23,55,46,0,3
1897,photo,80,7,0,80,0,0,0,0,0,1,6,23,87,80,0,3
1898,photo,41,11,0,41,0,0,0,0,0,1,6,3,52,41,0,0
1899,photo,69,6,0,69,0,0,0,0,0,1,5,10,75,69,0,0
1900,photo,3,2,2,3,0,0,0,0,0,1,3,11,7,3,0,2
1901,photo,21,4,0,21,0,0,0,0,0,1,2,1,25,21,0,2
1902,photo,64,1,0,64,0,0,0,0,0,1,5,22,65,64,0,3
1903,photo,60,19,0,60,0,0,0,0,0,1,2,11,79,60,0,2
1904,photo,25,3,0,25,0,0,0,0,0,1,2,1,28,25,0,2
1905,photo,48,17,0,48,0,0,0,0,0,1,0,10,65,48,0,2
